facility_id,name,facility_type,infrastructure_type,owner,address,suburb,lga,lat,lon,accepted_materials,capacity_kg_per_day,capacity_source,capacity_confidence,source_id,source_url,data_confidence,derivation_method
fac_0177_sbi_inert_landfill,SBI Inert Landfill,Landfill,Landfill inert,SBI Group,950 Ballarto Road,Cranbourne,Casey,-38.125963,145.262557,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0178_smart_recycling_brooklyn_,Smart Recycling (Brooklyn),Reprocessor,C&D waste recycling,S.M.A.R.T Recycling Pty Ltd,455A Somerville Rd,Brooklyn,Brimbank,-37.8092409,144.8457475,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0179_smart_recycling_epping_,Smart Recycling (Epping),Reprocessor,C&D waste recycling,S.M.A.R.T Recycling Pty Ltd,480 Cooper Street,Epping,Whittlesea,-37.64310551,144.9778148,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0180_smart_recycling_dandenong_south_,Smart Recycling (Dandenong South),Reprocessor,C&D waste recycling,S.M.A.R.T Recycling Pty Ltd,161 Portlink Drive,Dandenong South,Greater Dandenong,-38.053593,145.24344,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0181_waste_converters_recycling,Waste Converters Recycling,Reprocessor,C&D waste recycling,S.M.A.R.T Recycling Pty Ltd,161 Portlink Drive,Dandenong South,Greater Dandenong,-38.0549083,145.2422165,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0182_ryan_mcnulty_sawmillers,Ryan & McNulty Sawmillers,Reprocessor,Thermal energy from waste,Ryan & McNulty Pty Ltd,123 Sydney Rd,Benalla,Benalla,-36.5431546,146.0091446,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0183_rubber_recycling,Rubber Recycling,Hazardous waste,End-of-life tyres facility,Rubber Recycling,29-31 Plummer Rd,Laverton North,Wyndham,-37.81864421,144.8147225,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0184_rpm_pipes,RPM Pipes,Reprocessor,Plastics reprocessing,RPM Pipes,280 Lancaster Road,Kyabram,Campaspe,-36.31363,145.097018,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0185_royal_children_s_hospital,Royal Children's Hospital,Reprocessor,Thermal energy from waste,Royal Children's Hospital,50 Flemington Road,Parkville,Melbourne,-37.7935372,144.9491384,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0186_eastern_recycling_waste_transfer_station,Eastern Recycling & Waste Transfer Station,Resource Recovery Centre,Transfer station,Rossi Recycling Pty Ltd,22 Palmerstown Road West,Ringwood,Maroondah,-37.8252,145.217,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0187_rmax_rigid_cellular_plastics,RMAX Rigid Cellular Plastics,Reprocessor,Plastics reprocessing,RMAX Rigid Cellular,2-4 Mephan Street,Maribyrnong,Maribyrnong,-37.78533419,144.8873373,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
